,nr,name,y,x,google map
504,505,Tamarindo,38.752084,-5.534783,"http://maps.google.com/maps?ll=38.752084,-5.534783&spn=0.01,0.01&t=h&q=38.752084,-5.534783"
505,506,Majada Hermosa,38.698903,-5.357016,"http://maps.google.com/maps?ll=38.698903,-5.357016&spn=0.01,0.01&t=h&q=38.698903,-5.357016"
506,507,Antoñita,38.775136,-5.552935,"http://maps.google.com/maps?ll=38.775136,-5.552935&spn=0.01,0.01&t=h&q=38.775136,-5.552935"
507,508,La Perdiz,38.79091,-6.005756,"http://maps.google.com/maps?ll=38.79091,-6.005756&spn=0.01,0.01&t=h&q=38.79091,-6.005756"
508,509,La Matilla,38.495499,-5.993158,"http://maps.google.com/maps?ll=38.495499,-5.993158&spn=0.01,0.01&t=h&q=38.495499,-5.993158"
509,510,Atollar de los Frailes,38.624862,-5.610548,"http://maps.google.com/maps?ll=38.624862,-5.610548&spn=0.01,0.01&t=h&q=38.624862,-5.610548"
510,511,Quinto Rascarroña,38.82907,-5.25235,"http://maps.google.com/maps?ll=38.82907,-5.25235&spn=0.01,0.01&t=h&q=38.82907,-5.25235"
511,512,Cerro de la Cruces,38.550307,-6.068925,"http://maps.google.com/maps?ll=38.550307,-6.068925&spn=0.01,0.01&t=h&q=38.550307,-6.068925"
512,513,La Alondra,38.767287,-5.586174,"http://maps.google.com/maps?ll=38.767287,-5.586174&spn=0.01,0.01&t=h&q=38.767287,-5.586174"
513,514,Monterroso,43.128778,-6.765377,"http://maps.google.com/maps?ll=43.128778,-6.765377&spn=0.01,0.01&t=h&q=43.128778,-6.765377"
514,515,La Mortera,43.322709,-6.58308,"http://maps.google.com/maps?ll=43.322709,-6.58308&spn=0.01,0.01&t=h&q=43.322709,-6.58308"
515,516,Fastias,43.4049,-6.444853,"http://maps.google.com/maps?ll=43.4049,-6.444853&spn=0.01,0.01&t=h&q=43.4049,-6.444853"
516,517,El Bachicón,43.267883,-6.705021,"http://maps.google.com/maps?ll=43.267883,-6.705021&spn=0.01,0.01&t=h&q=43.267883,-6.705021"
517,518,Agüera,43.445796,-6.503673,"http://maps.google.com/maps?ll=43.445796,-6.503673&spn=0.01,0.01&t=h&q=43.445796,-6.503673"
518,519,Alto del Palo,43.315181,-6.62104,"http://maps.google.com/maps?ll=43.315181,-6.62104&spn=0.01,0.01&t=h&q=43.315181,-6.62104"
519,520,Lanz,42.998148,-1.620067,"http://maps.google.com/maps?ll=42.998148,-1.620067&spn=0.01,0.01&t=h&q=42.998148,-1.620067"
520,521,Pico Montouto,43.331134,-6.635069,"http://maps.google.com/maps?ll=43.331134,-6.635069&spn=0.01,0.01&t=h&q=43.331134,-6.635069"
521,522,Penedela,42.996921,-6.796154,"http://maps.google.com/maps?ll=42.996921,-6.796154&spn=0.01,0.01&t=h&q=42.996921,-6.796154"
522,523,Navelgas,43.405794,-6.543346,"http://maps.google.com/maps?ll=43.405794,-6.543346&spn=0.01,0.01&t=h&q=43.405794,-6.543346"
523,524,Ermita de Andamies,43.391727,-6.473667,"http://maps.google.com/maps?ll=43.391727,-6.473667&spn=0.01,0.01&t=h&q=43.391727,-6.473667"
524,525,Río del Oro,43.273884,-6.828116,"http://maps.google.com/maps?ll=43.273884,-6.828116&spn=0.01,0.01&t=h&q=43.273884,-6.828116"
525,526,Lavadoira,43.300541,-6.647281,"http://maps.google.com/maps?ll=43.300541,-6.647281&spn=0.01,0.01&t=h&q=43.300541,-6.647281"
526,527,Porciles,43.302398,-6.59967,"http://maps.google.com/maps?ll=43.302398,-6.59967&spn=0.01,0.01&t=h&q=43.302398,-6.59967"
527,528,Santiago Cerredo,43.334847,-6.57764,"http://maps.google.com/maps?ll=43.334847,-6.57764&spn=0.01,0.01&t=h&q=43.334847,-6.57764"
528,529,Pumar,43.172329,-6.747015,"http://maps.google.com/maps?ll=43.172329,-6.747015&spn=0.01,0.01&t=h&q=43.172329,-6.747015"
529,530,Río Navia 2,43.519675,-6.738616,"http://maps.google.com/maps?ll=43.519675,-6.738616&spn=0.01,0.01&t=h&q=43.519675,-6.738616"
530,531,Sierra de Begega,43.3,-6.266667,"http://maps.google.com/maps?ll=43.3,-6.266667&spn=0.01,0.01&t=h&q=43.3,-6.266667"
531,532,Estrella,41.027754,-1.879932,"http://maps.google.com/maps?ll=41.027754,-1.879932&spn=0.01,0.01&t=h&q=41.027754,-1.879932"
532,533,Lagos de Silva,43.542166,-6.901318,"http://maps.google.com/maps?ll=43.542166,-6.901318&spn=0.01,0.01&t=h&q=43.542166,-6.901318"
533,534,Hervederas,43.348637,-6.540533,"http://maps.google.com/maps?ll=43.348637,-6.540533&spn=0.01,0.01&t=h&q=43.348637,-6.540533"
534,535,Ibollo,43.232455,-6.72536,"http://maps.google.com/maps?ll=43.232455,-6.72536&spn=0.01,0.01&t=h&q=43.232455,-6.72536"
